i,j,gcd
1,85,1
1,86,1
1,87,1
1,88,1
1,89,1
1,90,1
1,91,1
1,92,1
1,93,1
1,94,1
1,95,1
1,96,1
1,97,1
1,98,1
1,99,1
2,0,2
2,1,1
2,2,2
2,3,1
2,4,2
2,5,1
2,6,2
2,7,1
2,8,2
2,9,1
2,10,2
2,11,1
2,12,2
2,13,1
2,14,2
2,15,1
2,16,2
2,17,1
2,18,2
2,19,1
2,20,2
2,21,1
2,22,2
2,23,1
2,24,2
2,25,1
2,26,2
2,27,1
2,28,2
2,29,1
2,30,2
2,31,1
2,32,2
2,33,1
2,34,2
2,35,1
2,36,2
2,37,1
2,38,2
2,39,1
2,40,2
2,41,1
2,42,2
2,43,1
2,44,2
2,45,1
2,46,2
2,47,1
2,48,2
2,49,1
2,50,2
2,51,1
2,52,2
2,53,1
2,54,2
2,55,1
2,56,2
2,57,1
2,58,2
2,59,1
2,60,2
2,61,1
2,62,2
2,63,1
2,64,2
2,65,1
2,66,2
2,67,1
2,68,2
2,69,1
2,70,2
2,71,1
2,72,2
2,73,1
2,74,2
2,75,1
2,76,2
2,77,1
2,78,2
2,79,1
2,80,2
2,81,1
2,82,2
2,83,1
2,84,2
2,85,1
2,86,2
2,87,1
2,88,2
2,89,1
2,90,2
2,91,1
2,92,2
2,93,1
2,94,2
2,95,1
2,96,2
2,97,1
2,98,2
2,99,1
3,0,3
3,1,1
3,2,1
3,3,3
3,4,1
3,5,1
3,6,3
3,7,1
3,8,1
3,9,3
3,10,1
3,11,1
3,12,3
3,13,1
3,14,1
3,15,3
3,16,1
3,17,1
3,18,3
3,19,1
3,20,1
3,21,3
3,22,1
3,23,1
3,24,3
3,25,1
3,26,1
3,27,3
3,28,1
3,29,1
3,30,3
3,31,1
3,32,1
3,33,3
3,34,1
3,35,1
3,36,3
3,37,1
3,38,1
3,39,3
3,40,1
3,41,1
3,42,3
3,43,1
3,44,1
3,45,3
3,46,1
3,47,1
3,48,3
3,49,1
3,50,1
3,51,3
3,52,1
3,53,1
3,54,3
3,55,1
3,56,1
3,57,3
3,58,1
3,59,1
3,60,3
3,61,1
3,62,1
3,63,3
3,64,1
3,65,1
3,66,3
3,67,1
3,68,1
3,69,3
3,70,1
3,71,1
3,72,3
3,73,1
3,74,1
3,75,3
3,76,1
3,77,1
3,78,3
3,79,1
3,80,1
3,81,3
3,82,1
3,83,1
3,84,3
3,85,1
3,86,1
3,87,3
3,88,1
3,89,1
3,90,3
3,91,1
3,92,1
3,93,3
3,94,1
3,95,1
3,96,3
3,97,1
3,98,1
3,99,3
4,0,4
4,1,1
4,2,2
4,3,1
4,4,4
4,5,1
4,6,2
4,7,1
4,8,4
4,9,1
4,10,2
4,11,1
4,12,4
4,13,1
4,14,2
4,15,1
4,16,4
4,17,1
4,18,2
4,19,1
4,20,4
4,21,1
4,22,2
4,23,1
4,24,4
4,25,1
4,26,2
4,27,1
4,28,4
4,29,1
4,30,2
4,31,1
4,32,4
4,33,1
4,34,2
4,35,1
4,36,4
4,37,1
4,38,2
4,39,1
4,40,4
4,41,1
4,42,2
4,43,1
4,44,4
4,45,1
4,46,2
4,47,1
4,48,4
4,49,1
4,50,2
4,51,1
4,52,4
4,53,1
4,54,2
4,55,1
4,56,4
4,57,1
4,58,2
4,59,1
4,60,4
4,61,1
4,62,2
4,63,1
4,64,4
4,65,1
4,66,2
4,67,1
4,68,4
4,69,1
4,70,2
4,71,1
4,72,4
4,73,1
4,74,2
4,75,1
4,76,4
4,77,1
4,78,2
4,79,1
4,80,4
4,81,1
4,82,2
4,83,1
4,84,4
4,85,1
4,86,2
4,87,1
4,88,4
4,89,1
4,90,2
4,91,1
4,92,4
4,93,1
4,94,2
4,95,1
4,96,4
4,97,1
4,98,2
4,99,1
5,0,5
5,1,1
5,2,1
5,3,1
5,4,1
5,5,5
5,6,1
5,7,1
5,8,1
5,9,1
5,10,5
5,11,1
5,12,1
5,13,1
5,14,1
5,15,5
5,16,1
5,17,1
5,18,1
5,19,1
5,20,5
5,21,1
5,22,1
5,23,1
5,24,1
5,25,5
5,26,1
5,27,1
5,28,1
5,29,1
5,30,5
5,31,1
5,32,1
5,33,1
5,34,1
5,35,5
5,36,1
5,37,1
5,38,1
5,39,1
5,40,5
5,41,1
5,42,1
5,43,1
5,44,1
5,45,5
5,46,1
5,47,1
5,48,1
5,49,1
5,50,5
5,51,1
5,52,1
5,53,1
5,54,1
5,55,5
5,56,1
5,57,1
5,58,1
5,59,1
5,60,5
5,61,1
5,62,1
5,63,1
5,64,1
5,65,5
5,66,1
5,67,1
5,68,1
5,69,1
5,70,5
5,71,1
5,72,1
5,73,1
5,74,1
5,75,5
5,76,1
5,77,1
5,78,1
5,79,1
5,80,5
5,81,1
5,82,1
5,83,1
5,84,1
5,85,5
5,86,1
5,87,1
5,88,1
5,89,1
5,90,5
5,91,1
5,92,1
5,93,1
5,94,1
5,95,5
5,96,1
5,97,1
5,98,1
5,99,1
6,0,6
6,1,1
6,2,2
6,3,3
6,4,2
6,5,1
6,6,6
6,7,1
6,8,2
6,9,3
6,10,2
6,11,1
6,12,6
6,13,1
6,14,2
6,15,3
6,16,2
6,17,1
6,18,6
6,19,1
6,20,2
6,21,3
6,22,2
6,23,1
6,24,6
6,25,1
6,26,2
6,27,3
6,28,2
6,29,1
6,30,6
6,31,1
6,32,2
6,33,3
6,34,2
6,35,1
6,36,6
6,37,1
6,38,2
6,39,3
6,40,2
6,41,1
6,42,6
6,43,1
6,44,2
6,45,3
6,46,2
6,47,1
6,48,6
6,49,1
6,50,2
6,51,3
6,52,2
6,53,1
6,54,6
6,55,1
6,56,2
6,57,3
6,58,2
6,59,1
6,60,6
6,61,1
6,62,2
6,63,3
6,64,2
6,65,1
6,66,6
6,67,1
6,68,2
6,69,3
6,70,2
6,71,1
6,72,6
6,73,1
6,74,2
6,75,3
6,76,2
6,77,1
6,78,6
6,79,1
6,80,2
6,81,3
6,82,2
6,83,1
6,84,6
6,85,1
6,86,2
6,87,3
6,88,2
6,89,1
6,90,6
6,91,1
6,92,2
6,93,3
6,94,2
6,95,1
6,96,6
6,97,1
6,98,2
6,99,3
7,0,7
7,1,1
7,2,1
7,3,1
7,4,1
7,5,1
7,6,1
7,7,7
7,8,1
7,9,1
7,10,1
7,11,1
7,12,1
7,13,1
7,14,7
7,15,1
7,16,1
7,17,1
7,18,1
7,19,1
7,20,1
7,21,7
7,22,1
7,23,1
7,24,1
7,25,1
7,26,1
7,27,1
7,28,7
7,29,1
7,30,1
7,31,1
7,32,1
7,33,1
7,34,1
7,35,7
7,36,1
7,37,1
7,38,1
7,39,1
7,40,1
7,41,1
7,42,7
7,43,1
7,44,1
7,45,1
7,46,1
7,47,1
7,48,1
7,49,7
7,50,1
7,51,1
7,52,1
7,53,1
7,54,1
7,55,1
7,56,7
7,57,1
7,58,1
7,59,1
7,60,1
7,61,1
7,62,1
7,63,7
7,64,1
7,65,1
7,66,1
7,67,1
7,68,1
7,69,1
7,70,7
7,71,1
7,72,1
7,73,1
7,74,1
7,75,1
7,76,1
7,77,7
7,78,1
7,79,1
7,80,1
7,81,1
7,82,1
7,83,1
7,84,7
7,85,1
7,86,1
7,87,1
7,88,1
7,89,1
7,90,1
7,91,7
7,92,1
7,93,1
7,94,1
7,95,1
7,96,1
7,97,1
7,98,7
7,99,1
8,0,8
8,1,1
8,2,2
8,3,1
8,4,4
8,5,1
8,6,2
8,7,1
8,8,8
8,9,1
8,10,2
8,11,1
8,12,4
8,13,1
8,14,2
8,15,1
8,16,8
8,17,1
8,18,2
8,19,1
8,20,4
8,21,1
8,22,2
8,23,1
8,24,8
8,25,1
8,26,2
8,27,1
8,28,4
8,29,1
8,30,2
8,31,1
8,32,8
8,33,1
8,34,2
8,35,1
8,36,4
8,37,1
8,38,2
8,39,1
8,40,8
8,41,1
8,42,2
8,43,1
8,44,4
8,45,1
8,46,2
8,47,1
8,48,8
8,49,1
8,50,2
8,51,1
8,52,4
8,53,1
8,54,2
8,55,1
8,56,8
8,57,1
8,58,2
8,59,1
8,60,4
8,61,1
8,62,2
8,63,1
8,64,8
8,65,1
8,66,2
8,67,1
8,68,4
8,69,1
8,70,2
8,71,1
8,72,8
8,73,1
8,74,2
8,75,1
8,76,4
8,77,1
8,78,2
8,79,1
8,80,8
8,81,1
8,82,2
8,83,1
8,84,4
8,85,1
8,86,2
8,87,1
8,88,8
8,89,1
8,90,2
8,91,1
8,92,4
8,93,1
8,94,2
8,95,1
8,96,8
8,97,1
8,98,2
8,99,1
9,0,9
9,1,1
9,2,1
9,3,3
9,4,1
9,5,1
9,6,3
9,7,1
9,8,1
9,9,9
9,10,1
9,11,1
9,12,3
9,13,1
9,14,1
9,15,3
9,16,1
9,17,1
9,18,9
9,19,1
9,20,1
9,21,3
9,22,1
9,23,1
9,24,3
9,25,1
9,26,1
9,27,9
9,28,1
9,29,1
9,30,3
9,31,1
9,32,1
9,33,3
9,34,1
9,35,1
9,36,9
9,37,1
9,38,1
9,39,3
9,40,1
9,41,1
9,42,3
9,43,1
9,44,1
9,45,9
9,46,1
9,47,1
9,48,3
9,49,1
9,50,1
9,51,3
9,52,1
9,53,1
9,54,9
9,55,1
9,56,1
9,57,3
9,58,1
9,59,1
9,60,3
9,61,1
9,62,1
9,63,9
9,64,1
9,65,1
9,66,3
9,67,1
9,68,1
9,69,3
9,70,1
9,71,1
9,72,9
9,73,1
9,74,1
9,75,3
9,76,1
9,77,1
9,78,3
9,79,1
9,80,1
9,81,9
9,82,1
9,83,1
9,84,3
9,85,1
9,86,1
9,87,3
9,88,1
9,89,1
9,90,9
9,91,1
9,92,1
9,93,3
9,94,1
9,95,1
9,96,3
9,97,1
9,98,1
9,99,9
10,0,10
10,1,1
10,2,2
10,3,1
10,4,2
10,5,5
10,6,2
10,7,1
10,8,2
10,9,1
10,10,10
10,11,1
10,12,2
10,13,1
10,14,2
10,15,5
10,16,2
10,17,1
10,18,2
10,19,1
10,20,10
10,21,1
10,22,2
10,23,1
10,24,2
10,25,5
10,26,2
10,27,1
10,28,2
10,29,1
10,30,10
10,31,1
10,32,2
10,33,1
10,34,2
10,35,5
10,36,2
10,37,1
10,38,2
10,39,1
10,40,10
10,41,1
10,42,2
10,43,1
10,44,2
10,45,5
10,46,2
10,47,1
10,48,2
10,49,1
10,50,10
10,51,1
10,52,2
10,53,1
10,54,2
10,55,5
10,56,2
10,57,1
10,58,2
10,59,1
10,60,10
10,61,1
10,62,2
10,63,1
10,64,2
10,65,5
10,66,2
10,67,1
10,68,2
10,69,1
10,70,10
10,71,1
10,72,2
10,73,1
10,74,2
10,75,5
10,76,2
10,77,1
10,78,2
10,79,1
10,80,10
10,81,1
10,82,2
10,83,1
10,84,2
10,85,5
10,86,2
10,87,1
10,88,2
10,89,1
10,90,10
10,91,1
10,92,2
10,93,1
10,94,2
10,95,5
10,96,2
10,97,1
10,98,2
10,99,1
11,0,11
11,1,1
11,2,1
11,3,1
11,4,1
11,5,1
11,6,1
11,7,1
11,8,1
11,9,1
11,10,1
11,11,11
11,12,1
11,13,1
11,14,1
11,15,1
11,16,1
11,17,1
11,18,1
11,19,1
11,20,1
11,21,1
11,22,11
11,23,1
11,24,1
11,25,1
11,26,1
11,27,1
11,28,1
11,29,1
11,30,1
11,31,1
11,32,1
11,33,11
11,34,1
11,35,1
11,36,1
11,37,1
11,38,1
11,39,1
11,40,1
11,41,1
11,42,1
11,43,1
11,44,11
11,45,1
11,46,1
11,47,1
11,48,1
11,49,1
11,50,1
11,51,1
11,52,1
11,53,1
11,54,1
11,55,11
11,56,1
11,57,1
11,58,1
11,59,1
11,60,1
11,61,1
11,62,1
11,63,1
11,64,1
11,65,1
11,66,11
11,67,1
11,68,1
11,69,1
11,70,1
11,71,1
11,72,1
11,73,1
11,74,1
11,75,1
11,76,1
11,77,11
11,78,1
11,79,1
11,80,1
11,81,1
11,82,1
11,83,1
11,84,1
11,85,1
11,86,1
11,87,1
11,88,11
11,89,1
11,90,1
11,91,1
11,92,1
11,93,1
11,94,1
11,95,1
11,96,1
11,97,1
11,98,1
11,99,11
12,0,12
12,1,1
12,2,2
12,3,3
12,4,4
12,5,1
12,6,6
12,7,1
12,8,4
12,9,3
12,10,2
12,11,1
12,12,12
12,13,1
12,14,2
12,15,3
12,16,4
12,17,1
12,18,6
12,19,1
12,20,4
12,21,3
12,22,2
12,23,1
12,24,12
12,25,1
12,26,2
12,27,3
12,28,4
12,29,1
12,30,6
12,31,1
12,32,4
12,33,3
12,34,2
12,35,1
12,36,12
12,37,1
12,38,2
12,39,3
12,40,4
12,41,1
12,42,6
12,43,1
12,44,4
12,45,3
12,46,2
12,47,1
12,48,12
12,49,1
12,50,2
12,51,3
12,52,4
12,53,1
12,54,6
12,55,1
12,56,4
12,57,3
12,58,2
12,59,1
12,60,12
12,61,1
12,62,2
12,63,3
12,64,4
12,65,1
12,66,6
12,67,1
12,68,4
12,69,3
12,70,2
12,71,1
12,72,12
12,73,1
12,74,2
12,75,3
12,76,4
12,77,1
12,78,6
12,79,1
12,80,4
12,81,3
12,82,2
12,83,1
12,84,12
12,85,1
12,86,2
12,87,3
12,88,4
12,89,1
12,90,6
12,91,1
12,92,4
12,93,3
12,94,2
12,95,1
12,96,12
12,97,1
12,98,2
12,99,3
13,0,13
13,1,1
13,2,1
13,3,1
13,4,1
13,5,1
13,6,1
13,7,1
13,8,1
13,9,1
13,10,1
13,11,1
13,12,1
13,13,13
13,14,1
13,15,1
13,16,1
13,17,1
13,18,1
13,19,1
13,20,1
13,21,1
13,22,1
13,23,1
13,24,1
13,25,1
13,26,13
13,27,1
13,28,1
13,29,1
13,30,1
13,31,1
13,32,1
13,33,1
13,34,1
13,35,1
13,36,1
13,37,1
13,38,1
13,39,13
13,40,1
13,41,1
13,42,1
13,43,1
13,44,1
13,45,1
13,46,1
13,47,1
13,48,1
13,49,1
13,50,1
13,51,1
13,52,13
13,53,1
13,54,1
13,55,1
13,56,1
13,57,1
13,58,1
13,59,1
13,60,1
13,61,1
13,62,1
13,63,1
13,64,1
13,65,13
13,66,1
13,67,1
13,68,1
13,69,1
13,70,1
13,71,1
13,72,1
13,73,1
13,74,1
13,75,1
13,76,1
13,77,1
13,78,13
13,79,1
13,80,1
13,81,1
13,82,1
13,83,1
13,84,1
13,85,1
13,86,1
13,87,1
13,88,1
13,89,1
13,90,1
13,91,13
13,92,1
13,93,1
13,94,1
13,95,1
13,96,1
13,97,1
13,98,1
13,99,1
14,0,14
14,1,1
14,2,2
14,3,1
14,4,2
14,5,1
14,6,2
14,7,7
14,8,2
14,9,1
14,10,2
14,11,1
14,12,2
14,13,1
14,14,14
14,15,1
14,16,2
14,17,1
14,18,2
14,19,1
14,20,2
14,21,7
14,22,2
14,23,1
14,24,2
14,25,1
14,26,2
14,27,1
14,28,14
14,29,1
14,30,2
14,31,1
14,32,2
14,33,1
14,34,2
14,35,7
14,36,2
14,37,1
14,38,2
14,39,1
14,40,2
14,41,1
14,42,14
14,43,1
14,44,2
14,45,1
14,46,2
14,47,1
14,48,2
14,49,7
14,50,2
14,51,1
14,52,2
14,53,1
14,54,2
14,55,1
14,56,14
14,57,1
14,58,2
14,59,1
14,60,2
14,61,1
14,62,2
14,63,7
14,64,2
14,65,1
14,66,2
14,67,1
14,68,2
14,69,1
14,70,14
14,71,1
14,72,2
14,73,1
14,74,2
14,75,1
14,76,2
14,77,7
14,78,2
14,79,1
14,80,2
14,81,1
14,82,2
14,83,1
14,84,14
14,85,1
14,86,2
14,87,1
14,88,2
14,89,1
14,90,2
14,91,7
14,92,2
14,93,1
14,94,2
14,95,1
14,96,2
14,97,1
14,98,14
14,99,1
15,0,15
15,1,1
15,2,1
15,3,3
15,4,1
15,5,5
15,6,3
15,7,1
15,8,1
15,9,3
15,10,5
15,11,1
15,12,3
15,13,1
15,14,1
15,15,15
15,16,1
15,17,1
15,18,3
15,19,1
15,20,5
15,21,3
15,22,1
15,23,1
15,24,3
15,25,5
15,26,1
15,27,3
15,28,1
15,29,1
15,30,15
15,31,1
15,32,1
15,33,3
15,34,1
15,35,5
15,36,3
15,37,1
15,38,1
15,39,3
15,40,5
15,41,1
15,42,3
15,43,1
15,44,1
15,45,15
15,46,1
15,47,1
15,48,3
15,49,1
15,50,5
15,51,3
15,52,1
15,53,1
15,54,3
15,55,5
15,56,1
15,57,3
15,58,1
15,59,1
15,60,15
15,61,1
15,62,1
15,63,3
15,64,1
15,65,5
15,66,3
15,67,1
15,68,1
15,69,3
15,70,5
15,71,1
15,72,3
15,73,1
15,74,1
15,75,15
15,76,1
15,77,1
15,78,3
15,79,1
15,80,5
15,81,3
15,82,1
15,83,1
15,84,3
15,85,5
15,86,1
15,87,3
15,88,1
15,89,1
15,90,15
15,91,1
15,92,1
15,93,3
15,94,1
15,95,5
15,96,3
15,97,1
15,98,1
15,99,3
16,0,16
16,1,1
16,2,2
16,3,1
16,4,4
16,5,1
16,6,2
16,7,1
16,8,8
16,9,1
16,10,2
16,11,1
16,12,4
16,13,1
16,14,2
16,15,1
16,16,16
16,17,1
16,18,2
16,19,1
16,20,4
16,21,1
16,22,2
16,23,1
16,24,8
16,25,1
16,26,2
16,27,1
16,28,4
16,29,1
16,30,2
16,31,1
16,32,16
16,33,1
16,34,2
16,35,1
16,36,4
16,37,1
16,38,2
16,39,1
16,40,8
16,41,1
16,42,2
16,43,1
16,44,4
16,45,1
16,46,2
16,47,1
16,48,16
16,49,1
16,50,2
16,51,1
16,52,4
16,53,1
16,54,2
16,55,1
16,56,8
16,57,1
16,58,2
16,59,1
16,60,4
16,61,1
16,62,2
16,63,1
16,64,16
16,65,1
16,66,2
16,67,1
16,68,4
16,69,1
16,70,2
16,71,1
16,72,8
16,73,1
16,74,2
16,75,1
16,76,4
16,77,1
16,78,2
16,79,1
16,80,16
16,81,1
16,82,2
16,83,1
16,84,4
16,85,1
16,86,2
16,87,1
16,88,8
16,89,1
16,90,2
16,91,1
16,92,4
16,93,1
16,94,2
16,95,1
16,96,16
16,97,1
16,98,2
16,99,1
17,0,17
17,1,1
17,2,1
17,3,1
17,4,1
17,5,1
17,6,1
17,7,1
17,8,1
17,9,1
17,10,1
17,11,1
17,12,1
17,13,1
17,14,1
17,15,1
17,16,1
17,17,17
17,18,1
17,19,1
17,20,1
17,21,1
17,22,1
17,23,1
17,24,1
17,25,1
17,26,1
17,27,1
17,28,1
17,29,1
17,30,1
17,31,1
17,32,1
17,33,1
17,34,17
17,35,1
17,36,1
17,37,1
17,38,1
17,39,1
17,40,1
17,41,1
17,42,1
17,43,1
17,44,1
17,45,1
17,46,1
17,47,1
17,48,1
17,49,1
17,50,1
17,51,17
17,52,1
17,53,1
17,54,1
17,55,1
17,56,1
17,57,1
17,58,1
17,59,1
17,60,1
17,61,1
17,62,1
17,63,1
17,64,1
17,65,1
17,66,1
17,67,1
17,68,17
17,69,1
17,70,1
17,71,1
17,72,1
17,73,1
17,74,1
17,75,1
17,76,1
17,77,1
17,78,1
17,79,1
17,80,1
17,81,1
17,82,1
17,83,1
17,84,1
17,85,17
17,86,1
17,87,1
17,88,1
17,89,1
17,90,1
17,91,1
17,92,1
17,93,1
17,94,1
17,95,1
17,96,1
17,97,1
17,98,1
17,99,1
18,0,18
18,1,1
18,2,2
18,3,3
18,4,2
18,5,1
18,6,6
18,7,1
18,8,2
18,9,9
18,10,2
18,11,1
18,12,6
18,13,1
18,14,2
18,15,3
18,16,2
18,17,1
18,18,18
18,19,1
18,20,2
18,21,3
18,22,2
18,23,1
18,24,6
18,25,1
18,26,2
18,27,9
18,28,2
18,29,1
18,30,6
18,31,1
18,32,2
18,33,3
18,34,2
18,35,1
18,36,18
18,37,1
18,38,2
18,39,3
18,40,2
18,41,1
18,42,6
18,43,1
18,44,2
18,45,9
18,46,2
18,47,1
18,48,6
18,49,1
18,50,2
18,51,3
18,52,2
18,53,1
18,54,18
18,55,1
18,56,2
18,57,3
18,58,2
18,59,1
18,60,6
18,61,1
18,62,2
18,63,9
18,64,2
18,65,1
18,66,6
18,67,1
18,68,2
18,69,3
18,70,2
18,71,1
18,72,18
18,73,1
18,74,2
18,75,3
18,76,2
18,77,1
18,78,6
18,79,1
18,80,2
18,81,9
18,82,2
18,83,1
18,84,6
18,85,1
18,86,2
18,87,3
18,88,2
18,89,1
18,90,18
18,91,1
18,92,2
18,93,3
18,94,2
18,95,1
18,96,6
18,97,1
18,98,2
18,99,9
19,0,19
19,1,1
19,2,1
19,3,1
19,4,1
19,5,1
19,6,1
19,7,1
19,8,1
19,9,1
19,10,1
19,11,1
19,12,1
19,13,1
19,14,1
19,15,1
19,16,1
19,17,1
19,18,1
19,19,19
19,20,1
19,21,1
19,22,1
19,23,1
19,24,1
19,25,1
19,26,1
19,27,1
19,28,1
19,29,1
19,30,1
19,31,1
19,32,1
19,33,1
19,34,1
19,35,1
19,36,1
19,37,1
19,38,19
19,39,1
19,40,1
19,41,1
19,42,1
19,43,1
19,44,1
19,45,1
19,46,1
19,47,1
19,48,1
19,49,1
19,50,1
19,51,1
19,52,1
19,53,1
19,54,1
19,55,1
19,56,1
19,57,19
19,58,1
19,59,1
19,60,1
19,61,1
19,62,1
19,63,1
19,64,1
19,65,1
19,66,1
19,67,1
19,68,1
19,69,1
19,70,1
19,71,1
19,72,1
19,73,1
19,74,1
19,75,1
19,76,19
19,77,1
19,78,1
19,79,1
19,80,1
19,81,1
19,82,1
19,83,1
19,84,1
19,85,1
19,86,1
19,87,1
19,88,1
19,89,1
19,90,1
19,91,1
19,92,1
19,93,1
19,94,1
19,95,19
19,96,1
19,97,1
19,98,1
19,99,1
20,0,20
20,1,1
20,2,2
20,3,1
20,4,4
20,5,5
20,6,2
20,7,1
20,8,4
20,9,1
20,10,10
20,11,1
20,12,4
20,13,1
20,14,2
20,15,5
20,16,4
20,17,1
20,18,2
20,19,1
20,20,20
20,21,1
20,22,2
20,23,1
20,24,4
20,25,5
20,26,2
20,27,1
20,28,4
20,29,1
20,30,10
20,31,1
20,32,4
20,33,1
20,34,2
20,35,5
20,36,4
20,37,1
20,38,2
20,39,1
20,40,20
20,41,1
20,42,2
20,43,1
20,44,4
20,45,5
20,46,2
20,47,1
20,48,4
20,49,1
20,50,10
20,51,1
20,52,4
20,53,1
20,54,2
20,55,5
20,56,4
20,57,1
20,58,2
20,59,1
20,60,20
20,61,1
20,62,2
20,63,1
20,64,4
20,65,5
20,66,2
20,67,1
20,68,4
20,69,1
20,70,10
20,71,1
20,72,4
20,73,1
20,74,2
20,75,5
20,76,4
20,77,1
20,78,2
20,79,1
20,80,20
20,81,1
20,82,2
20,83,1
20,84,4
20,85,5
20,86,2
20,87,1
20,88,4
20,89,1
20,90,10
20,91,1
20,92,4
20,93,1
20,94,2
20,95,5
20,96,4
20,97,1
20,98,2
20,99,1
21,0,21
21,1,1
21,2,1
21,3,3
21,4,1
21,5,1
21,6,3
21,7,7
21,8,1
21,9,3
21,10,1
21,11,1
21,12,3
21,13,1
21,14,7
21,15,3
21,16,1
21,17,1
21,18,3
21,19,1
21,20,1
21,21,21
21,22,1
21,23,1
21,24,3
21,25,1
21,26,1
21,27,3
21,28,7
21,29,1
21,30,3
21,31,1
21,32,1
21,33,3
21,34,1
21,35,7
21,36,3
21,37,1
21,38,1
21,39,3
21,40,1
21,41,1
21,42,21
21,43,1
21,44,1
21,45,3
21,46,1
21,47,1
21,48,3
21,49,7
21,50,1
21,51,3
21,52,1
21,53,1
21,54,3
21,55,1
21,56,7
21,57,3
21,58,1
21,59,1
21,60,3
21,61,1
21,62,1
21,63,21
21,64,1
21,65,1
21,66,3
21,67,1
21,68,1
21,69,3
21,70,7
21,71,1
21,72,3
21,73,1
21,74,1
21,75,3
21,76,1
21,77,7
21,78,3
21,79,1
21,80,1
21,81,3
21,82,1
21,83,1
21,84,21
21,85,1
21,86,1
21,87,3
21,88,1
21,89,1
21,90,3
21,91,7
21,92,1
21,93,3
21,94,1
21,95,1
21,96,3
21,97,1
21,98,7
21,99,3
22,0,22
22,1,1
22,2,2
22,3,1
22,4,2
22,5,1
22,6,2
22,7,1
22,8,2
22,9,1
22,10,2
22,11,11
22,12,2
22,13,1
22,14,2
22,15,1
22,16,2
22,17,1
22,18,2
22,19,1
22,20,2
22,21,1
22,22,22
22,23,1
22,24,2
22,25,1
22,26,2
22,27,1
22,28,2
22,29,1
22,30,2
22,31,1
22,32,2
22,33,11
22,34,2
22,35,1
22,36,2
22,37,1
22,38,2
22,39,1
22,40,2
22,41,1
22,42,2
22,43,1
22,44,22
22,45,1
22,46,2
22,47,1
22,48,2
22,49,1
22,50,2
22,51,1
22,52,2
22,53,1
22,54,2
22,55,11
22,56,2
22,57,1
22,58,2
22,59,1
22,60,2
22,61,1
22,62,2
22,63,1
22,64,2
22,65,1
22,66,22
22,67,1
22,68,2
22,69,1
22,70,2
22,71,1
22,72,2
22,73,1
22,74,2
22,75,1
22,76,2
22,77,11
22,78,2
22,79,1
22,80,2
22,81,1
22,82,2
22,83,1
22,84,2
22,85,1
22,86,2
22,87,1
22,88,22
22,89,1
22,90,2
22,91,1
22,92,2
22,93,1
22,94,2
22,95,1
22,96,2
22,97,1
22,98,2
22,99,11
23,0,23
23,1,1
23,2,1
23,3,1
23,4,1
23,5,1
23,6,1
23,7,1
23,8,1
23,9,1
23,10,1
23,11,1
23,12,1
23,13,1
23,14,1
23,15,1
23,16,1
23,17,1
23,18,1
23,19,1
23,20,1
23,21,1
23,22,1
23,23,23
23,24,1
23,25,1
23,26,1
23,27,1
23,28,1
23,29,1
